Scopus-9514-分析-年份

"您的检索式: (TITLE-ABS-KEY((""dendrite""OR ""whiskers"") And (""Lithium ion battery"" OR ""lithium battery"" OR ""lithium mental battery"" OR ""Solid state"")))"


检索结果数量: 9514

"年份",
"2025","960"
"2024","1851"
"2023","1440"
"2022","1341"
"2021","1106"
"2020","870"
"2019","619"
"2018","403"
"2017","195"
"2016","150"
"2015","94"
"2014","82"
"2013","56"
"2012","40"
"2011","36"
"2010","40"
"2009","31"
"2008","34"
"2007","25"
"2006","33"
"2005","23"
"2004","19"
"2003","19"
"2002","11"
"2001","16"
"2000","20"
